,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
6029,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,41400,10653,,,0
6161,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,42300,10688,,,0
6284,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,43200,10688,,,0
6417,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,44100,10688,,,0
6539,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,45000,10688,,,0
6672,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,45900,10689,,,0
6808,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,46800,10691,,,0
6929,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,47700,10693,,,0
7067,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,48600,10695,,,0
7199,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,49500,10695,,,0
