,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
5097,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,35100,10483,,,0
5238,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,36000,10483,,,0
5379,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,36900,10483,,,0
5517,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,37800,10483,,,0
5617,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,38700,10488,,,0
5757,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,39600,10489,,,0
5897,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,40500,10492,,,0
6047,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,41400,10497,,,0
6134,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,42300,10497,,,0
6280,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,43200,10497,,,0
6418,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,44100,10497,,,0
6570,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,45000,10498,,,0
6658,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,45900,10500,,,0
6801,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,46800,10517,,,0
6937,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,47700,10517,,,0
7085,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,48600,10517,,,0
